161.129.154.42 - - [04/May/2021:00:03:24 +0000] "CONNECT www.etsy.com:443 HTTP/1.1" 400 -
205.185.122.4 - - [04/May/2021:10:50:19 +0000] "GET /manager/html HTTP/1.1" 403 3503
209.141.40.103 - - [04/May/2021:11:00:27 +0000] "GET /script HTTP/1.1" 404 1080
190.103.204.122 - - [04/May/2021:11:07:42 +0000] "GET / HTTP/1.1" 200 1
198.98.54.148 - - [04/May/2021:11:09:39 +0000] "GET /manager/html HTTP/1.1" 403 3503
162.62.133.40 - - [04/May/2021:11:23:31 +0000] "GET / HTTP/1.1" 200 1
206.166.251.147 - - [04/May/2021:11:36:08 +0000] "GET /script HTTP/1.1" 404 1080
205.185.122.4 - - [04/May/2021:12:02:08 +0000] "GET /manager/html HTTP/1.1" 403 3503
157.230.239.55 - - [04/May/2021:12:04:05 +0000] "GET / HTTP/1.1" 200 1
157.230.239.55 - - [04/May/2021:12:04:05 +0000] "GET /favicon.ico HTTP/1.1" 404 1085
206.166.251.147 - - [04/May/2021:12:26:00 +0000] "GET /script HTTP/1.1" 404 1080
161.129.155.154 - - [04/May/2021:12:49:00 +0000] "CONNECT revengeapi.wtf:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:12:50:36 +0000] "CONNECT revengeapi.wtf:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:12:58:29 +0000] "CONNECT revengeapi.wtf:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:13:00:18 +0000] "CONNECT relevantstress.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:13:01:21 +0000] "CONNECT relevantstress.com:443 HTTP/1.1" 400 -
206.166.251.147 - - [04/May/2021:13:01:28 +0000] "GET /script HTTP/1.1" 404 1080
185.215.228.14 - - [04/May/2021:13:02:24 +0000] "GET / HTTP/1.1" 200 1
161.129.155.154 - - [04/May/2021:13:04:10 +0000] "POST / HTTP/1.1" 200 1
161.129.155.154 - - [04/May/2021:13:04:53 +0000] "CONNECT revengeapi.wtf:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:13:06:21 +0000] "CONNECT relevantstress.com:443 HTTP/1.1" 400 -
198.98.54.148 - - [04/May/2021:13:12:34 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:13:14:13 +0000] "POST / HTTP/1.1" 200 1
161.129.155.154 - - [04/May/2021:13:15:12 +0000] "CONNECT syntaxapi.xyz:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:13:30:01 +0000] "CONNECT stacs.org:443 HTTP/1.1" 400 -
162.142.125.54 - - [04/May/2021:13:30:27 +0000] "GET / HTTP/1.1" 200 1
162.142.125.54 - - [04/May/2021:13:30:27 +0000] "GET / HTTP/1.1" 200 1
206.166.251.147 - - [04/May/2021:13:39:19 +0000] "GET /script HTTP/1.1" 404 1080
106.87.156.18 - - [04/May/2021:13:42:00 +0000] "POST /GponForm/diag_Form?images/ HTTP/1.1" 404 1096
106.87.156.18 - - [04/May/2021:13:42:00 +0000] "-" 400 -
103.219.76.2 - - [04/May/2021:13:49:03 +0000] "GET /invoker/readonly HTTP/1.1" 404 1094
103.219.76.2 - - [04/May/2021:13:49:04 +0000] "GET /secure/ContactAdministrators!default.jspa HTTP/1.1" 404 1119
103.219.76.2 - - [04/May/2021:13:49:05 +0000] "GET / HTTP/1.1" 200 1
103.219.76.2 - - [04/May/2021:13:49:05 +0000] "GET /login HTTP/1.1" 404 1079
103.219.76.2 - - [04/May/2021:13:49:06 +0000] "GET /jenkins/login HTTP/1.1" 404 1091
103.219.76.2 - - [04/May/2021:13:49:06 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:13:54:02 +0000] "CONNECT wawm.schoology.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:13:54:23 +0000] "CONNECT wawm.schoology.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:13:55:09 +0000] "CONNECT wawm.schoology.com:443 HTTP/1.1" 400 -
78.128.112.18 - - [04/May/2021:14:00:38 +0000] "-" 400 -
161.129.155.154 - - [04/May/2021:14:04:51 +0000] "CONNECT www.vectorsolutions.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:06:44 +0000] "CONNECT www.vectorsolutions.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:13:15 +0000] "CONNECT www.vectorsolutions.com:443 HTTP/1.1" 400 -
164.68.115.6 - - [04/May/2021:14:16:41 +0000] "GET /tree? HTTP/1.1" 404 1078
206.166.251.147 - - [04/May/2021:14:21:55 +0000] "GET /script HTTP/1.1" 404 1080
91.239.130.30 - - [04/May/2021:14:30:41 +0000] "CONNECT cdn.jsdelivr.net:443 HTTP/1.1" 400 -
91.239.130.30 - - [04/May/2021:14:30:41 +0000] "CONNECT cdn.jsdelivr.net:443 HTTP/1.1" 400 -
91.239.130.30 - - [04/May/2021:14:30:42 +0000] "CONNECT cdn.jsdelivr.net:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:33:46 +0000] "CONNECT www.vectorsolutions.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:34:19 +0000] "CONNECT www.vectorsolutions.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:43:28 +0000] "CONNECT www.vectorsolutions.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:44:16 +0000] "CONNECT www.vectorsolutions.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:49:47 +0000] "CONNECT fuckblackpeople.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:50:35 +0000] "CONNECT fuckblackpeople.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:50:43 +0000] "CONNECT fuckblackpeople.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:52:43 +0000] "CONNECT aspen.cps.edu:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:53:27 +0000] "CONNECT fuckblackpeople.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:14:55:00 +0000] "CONNECT aspen.cps.edu:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:15:11:44 +0000] "CONNECT fuckblackpeople.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:15:12:21 +0000] "CONNECT fuckblackpeople.com:443 HTTP/1.1" 400 -
198.98.54.148 - - [04/May/2021:15:13:36 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:15:26:28 +0000] "CONNECT dealwithcaution.com:443 HTTP/1.1" 400 -
206.166.251.147 - - [04/May/2021:15:43:37 +0000] "GET /script HTTP/1.1" 404 1080
161.129.155.154 - - [04/May/2021:16:00:12 +0000] "CONNECT revengeapi.wtf:443 HTTP/1.1" 400 -
128.14.133.58 - - [04/May/2021:16:00:34 +0000] "GET / HTTP/1.1" 200 1
161.129.155.154 - - [04/May/2021:16:13:50 +0000] "CONNECT kalyan.net.ua:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:16:15:02 +0000] "CONNECT kalyan.net.ua:443 HTTP/1.1" 400 -
167.248.133.56 - - [04/May/2021:16:29:37 +0000] "GET / HTTP/1.1" 200 1
161.129.155.154 - - [04/May/2021:16:31:35 +0000] "CONNECT revengeapi.wtf:443 HTTP/1.1" 400 -
198.98.54.148 - - [04/May/2021:17:11:30 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:17:38:47 +0000] "CONNECT health.gov:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:17:41:29 +0000] "CONNECT www.nasa.gov:443 HTTP/1.1" 400 -
206.166.251.147 - - [04/May/2021:17:41:48 +0000] "GET /script HTTP/1.1" 404 1080
139.162.177.21 - - [04/May/2021:17:43:23 +0000] "GET / HTTP/1.0" 200 1
139.162.177.21 - - [04/May/2021:17:43:25 +0000] "OPTIONS / HTTP/1.0" 200 -
139.162.177.21 - - [04/May/2021:17:43:29 +0000] "OPTIONS / null" 400 -
139.162.177.21 - - [04/May/2021:17:43:30 +0000] "GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 1113
161.129.155.154 - - [04/May/2021:17:47:58 +0000] "CONNECT www.nasa.gov:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:17:49:42 +0000] "CONNECT www.nasa.gov:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:18:08:58 +0000] "CONNECT www.lawndalecity.org:443 HTTP/1.1" 400 -
70.37.87.13 - - [04/May/2021:18:19:33 +0000] "GET /nifi/ HTTP/1.1" 404 1083
209.17.97.26 - - [04/May/2021:18:56:41 +0000] "GET / HTTP/1.1" 200 1
39.108.249.57 - - [04/May/2021:19:00:02 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:19:17:35 +0000] "CONNECT entropy.club:443 HTTP/1.1" 400 -
198.98.54.148 - - [04/May/2021:19:18:33 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:19:21:02 +0000] "CONNECT entropy.club:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:19:25:47 +0000] "CONNECT bangenergy.com:443 HTTP/1.1" 400 -
206.166.251.147 - - [04/May/2021:19:30:10 +0000] "GET /script HTTP/1.1" 404 1080
161.129.155.154 - - [04/May/2021:19:44:16 +0000] "CONNECT moonlightv.xyz:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:19:45:08 +0000] "CONNECT moonlightv.xyz:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:19:56:12 +0000] "CONNECT check-host.net:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:20:05:20 +0000] "CONNECT myapps.classlink.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:20:09:43 +0000] "CONNECT moonlightv.xyz:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:20:09:52 +0000] "CONNECT moonlightv.xyz:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:20:10:08 +0000] "CONNECT moonlightv.xyz:443 HTTP/1.1" 400 -
70.37.87.13 - - [04/May/2021:20:15:26 +0000] "GET /nifi/ HTTP/1.1" 404 1083
161.129.155.154 - - [04/May/2021:20:26:18 +0000] "CONNECT www.tinkebell.com:443 HTTP/1.1" 400 -
206.166.251.147 - - [04/May/2021:20:39:21 +0000] "GET /script HTTP/1.1" 404 1080
178.128.106.249 - - [04/May/2021:20:44:05 +0000] "GET /invoker/readonly HTTP/1.1" 404 1094
178.128.106.249 - - [04/May/2021:20:44:06 +0000] "GET /secure/ContactAdministrators!default.jspa HTTP/1.1" 404 1119
178.128.106.249 - - [04/May/2021:20:44:06 +0000] "GET /login HTTP/1.1" 404 1079
178.128.106.249 - - [04/May/2021:20:44:06 +0000] "GET /jenkins/login HTTP/1.1" 404 1091
178.128.106.249 - - [04/May/2021:20:44:07 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:20:49:51 +0000] "CONNECT us.ovhcloud.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:20:54:56 +0000] "CONNECT us.ovhcloud.com:443 HTTP/1.1" 400 -
185.216.140.6 - - [04/May/2021:20:58:11 +0000] "-" 400 -
185.216.140.6 - - [04/May/2021:20:58:30 +0000] "GET / HTTP/1.1" 200 1
161.129.155.154 - - [04/May/2021:20:59:49 +0000] "CONNECT thetrueyoshifan.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:21:00:39 +0000] "CONNECT us.ovhcloud.com:443 HTTP/1.1" 400 -
206.166.251.147 - - [04/May/2021:21:10:44 +0000] "GET /script HTTP/1.1" 404 1080
198.98.54.148 - - [04/May/2021:21:14:28 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:21:23:35 +0000] "CONNECT anonfiles.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:21:55:45 +0000] "CONNECT www.lakeshorecsd.org:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:22:14:31 +0000] "CONNECT dimasls.blogspot.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:22:54:47 +0000] "CONNECT www.tradingview.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:22:55:13 +0000] "CONNECT www.tradingview.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:22:58:05 +0000] "CONNECT phub.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:22:58:50 +0000] "CONNECT phub.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:22:59:29 +0000] "CONNECT check-host.net:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:23:00:57 +0000] "CONNECT nl.pornhub.com:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:23:01:01 +0000] "CONNECT check-host.net:443 HTTP/1.1" 400 -
198.98.54.148 - - [04/May/2021:23:16:12 +0000] "GET /manager/html HTTP/1.1" 403 3503
161.129.155.154 - - [04/May/2021:23:21:09 +0000] "CONNECT panel.topfrag.io:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:23:30:10 +0000] "CONNECT dstat.cc:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:23:33:52 +0000] "CONNECT revengeapi.wtf:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:23:38:12 +0000] "CONNECT health.gov:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:23:38:35 +0000] "CONNECT www.cdc.gov:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:23:40:23 +0000] "CONNECT www.cdc.gov:443 HTTP/1.1" 400 -
161.129.155.154 - - [04/May/2021:23:51:49 +0000] "CONNECT check-host.net:443 HTTP/1.1" 400 -
